province,city,name,level,price,score,comments,addr
黑龙江,哈尔滨,中央大街,0,0.0,4.7,7435.0,哈尔滨市道里区
黑龙江,哈尔滨,圣索菲亚大教堂,4,0.0,4.6,5327.0,哈尔滨市道里区透笼街88号
黑龙江,哈尔滨,松花江,0,20.0,4.6,1865.0,哈尔滨市呼兰区
黑龙江,哈尔滨,哈尔滨极地馆,4,85.0,4.6,6576.0,哈尔滨市松北区太阳大道3号
黑龙江,哈尔滨,防洪纪念塔,0,0.0,4.4,715.0,哈尔滨市道里区中央大街尽头广场
黑龙江,哈尔滨,东北虎林园,4,100.0,4.6,3223.0,哈尔滨市松北区松北街88号
黑龙江,哈尔滨,太阳岛风景区,5,47.0,4.3,2048.0,哈尔滨市松北区警备路3号
黑龙江,哈尔滨,雪谷,0,0.0,4.6,272.0,哈尔滨市五常市山河屯五常山河林业局东
黑龙江,哈尔滨,伏尔加庄园,4,0.0,4.6,2324.0,哈尔滨市香坊区成高子镇民强村
黑龙江,哈尔滨,龙塔,4,80.0,4.4,2470.0,哈尔滨市南岗区长江路178号
黑龙江,哈尔滨,亚布力滑雪旅游度假区,4,35.0,4.2,479.0,哈尔滨市尚志市金牌大道84号
黑龙江,哈尔滨,斯大林公园,0,0.0,4.4,349.0,哈尔滨市道里区近郊斯大林街3号（近松花江畔）
黑龙江,哈尔滨,松花江观光索道,0,76.0,4.6,3261.0,哈尔滨市道里区通江街218号
黑龙江,哈尔滨,果戈里大街,0,0.0,4.3,361.0,哈尔滨市南岗区
黑龙江,哈尔滨,俄罗斯风情小镇,0,0.0,4.2,859.0,哈尔滨市松北区太阳岛风景街10号
黑龙江,哈尔滨,兆麟公园,0,0.0,4.4,346.0,哈尔滨市道里区森林街39号
黑龙江,哈尔滨,老道外,0,0.0,4.4,394.0,哈尔滨市道外区景阳街197号
黑龙江,哈尔滨,731部队罪证遗址,4,0.0,4.6,282.0,哈尔滨市平房区新疆大街47号(近青年大街)
黑龙江,哈尔滨,黑龙江省博物馆,0,0.0,4.2,350.0,南岗区红军街64号
黑龙江,哈尔滨,哈尔滨文化公园,4,0.0,4.5,364.0,哈尔滨市南岗区南通大街208号
黑龙江,哈尔滨,凤凰山国家森林公园,4,0.0,4.8,275.0,哈尔滨市五常市山河屯重点国有林管理局凤凰山景区
黑龙江,哈尔滨,北方森林动物园,4,0.0,4.6,894.0,哈尔滨市阿城区哈牡高速46公里处
黑龙江,哈尔滨,松花江铁路桥,0,0.0,4.5,264.0,哈尔滨市道里区松花江畔斯大林公园东侧
黑龙江,哈尔滨,黑龙江省科技馆,4,0.0,4.6,119.0,哈尔滨市松北区太阳大道1458号
黑龙江,哈尔滨,金龙山国家森林公园,4,0.0,4.5,266.0,哈尔滨市阿城区金龙山镇
黑龙江,哈尔滨,呼兰河口湿地风景区,4,0.0,4.4,249.0,哈尔滨市呼兰区腰堡街道东岗村
黑龙江,哈尔滨,北大荒现代农业园,4,0.0,4.4,229.0,哈尔滨市香坊区香福路146号
黑龙江,哈尔滨,儿童公园,0,0.0,4.6,180.0,哈尔滨市南岗区果戈里大街295号(近花园街)
黑龙江,哈尔滨,极乐寺,0,0.0,4.4,207.0,哈尔滨市南岗区东大直街9号
黑龙江,哈尔滨,黑龙江省森林植物园,0,0.0,4.6,399.0,哈尔滨市香坊区哈平路105号
黑龙江,哈尔滨,圣阿列克谢耶夫教堂,0,0.0,4.5,178.0,哈尔滨市南岗区士课街47号
黑龙江,哈尔滨,二龙山旅游风景区,4,0.0,4.3,128.0,哈尔滨市宾县同哈公路二龙山风景区
黑龙江,哈尔滨,帽儿山,0,0.0,4.3,191.0,哈尔滨市尚志市帽儿山镇
黑龙江,哈尔滨,哈尔滨文庙,0,0.0,4.4,155.0,哈尔滨市南岗区文庙街25号
黑龙江,哈尔滨,平山神鹿旅游区,4,0.0,4.3,243.0,哈尔滨市阿城区平山镇
黑龙江,哈尔滨,香炉山,0,40.0,4.5,284.0,哈尔滨市宾县的南端，小兴安岭的余脉
黑龙江,哈尔滨,萧红故居,0,0.0,4.5,129.0,哈尔滨市呼兰区造纸路二道街204号
黑龙江,哈尔滨,黑龙江省民族博物馆,0,0.0,4.5,62.0,哈尔滨市南岗区文庙街25号
黑龙江,哈尔滨,长寿国家森林公园,0,0.0,4.5,55.0,哈尔滨市宾县宾西经济开发区长寿山
黑龙江,哈尔滨,七级浮屠塔,0,0.0,4.3,51.0,哈尔滨市南岗区东大直街5号极乐寺东侧
黑龙江,哈尔滨,哈尔滨工业大学航天馆,0,0.0,4.7,46.0,哈尔滨市南岗区一匡街2号哈工大科学园2H栋哈工大国际会议中心1楼
黑龙江,哈尔滨,关东古巷,0,0.0,4.3,81.0,哈尔滨市道里区关东古巷
黑龙江,哈尔滨,黑龙江辽金历史博物馆,0,0.0,4.6,65.0,哈尔滨市南岗区东大直街320号(秋林国际购物中心7层)
黑龙江,哈尔滨,现代农业示范区,0,0.0,4.6,9.0,哈尔滨市松北区万宝大道5199号
黑龙江,哈尔滨,索菲亚广场,0,0.0,4.5,128.0,哈尔滨市道里区透笼街88号
黑龙江,牡丹江,中国雪乡,4,115.0,4.4,1289.0,牡丹江市海林市大海林林业局双峰林场
黑龙江,牡丹江,镜泊湖风景区,5,50.0,4.3,1712.0,牡丹江市宁安市
黑龙江,牡丹江,羊草山,0,0.0,4.5,144.0,牡丹江雪乡风景区6公里处
黑龙江,牡丹江,大秃顶子山,0,0.0,4.6,124.0,牡丹江市大海林林业局双峰林场
黑龙江,牡丹江,雪乡大雪谷,0,0.0,4.5,140.0,牡丹江市海林市大海林林业局雪乡景区亚雪公路75公里处
黑龙江,牡丹江,绥芬河国门景区,0,0.0,4.4,199.0,牡丹江市绥芬河市乌苏里大街北侧
黑龙江,牡丹江,吊水楼瀑布,0,0.0,4.5,198.0,牡丹江市宁安市镜泊湖景区内，镜泊湖最北端
黑龙江,牡丹江,横道河子东北虎林园,4,45.0,4.6,119.0,牡丹江市海林市横道河子镇东301国道210公里处的路旁
黑龙江,牡丹江,柴河小九寨,4,0.0,4.4,163.0,牡丹江市海林市玉泉镇威虎山国家森林公园内
黑龙江,牡丹江,威虎山城影视城,4,38.0,4.3,75.0,牡丹江市海林市绥满公路横道河镇
黑龙江,牡丹江,八女群雕,0,0.0,4.6,235.0,牡丹江市东安区太平路
黑龙江,牡丹江,东宁要塞,4,0.0,4.5,98.0,牡丹江市东宁市三岔口镇
黑龙江,牡丹江,三道关国家森林公园,4,0.0,4.4,91.0,牡丹江市爱民区西北部、张广才岭安纺山脉之末
黑龙江,牡丹江,杨子荣烈士陵园,0,0.0,4.5,47.0,牡丹江市海林市霞蔚路
黑龙江,牡丹江,火山口地下森林,0,0.0,4.2,194.0,牡丹江市宁安市火山口旅游公路
黑龙江,牡丹江,黑宝熊乐园,4,0.0,4.4,80.0,牡丹江市爱民区三道关国家级森林公园内
黑龙江,牡丹江,二浪河,0,0.0,4.6,56.0,牡丹江市海林市距中国雪乡43公里，亚布力旅游名镇40公里。
黑龙江,牡丹江,威虎山国家森林公园,0,0.0,4.4,71.0,牡丹江市海林市柴河林业局辖区内
黑龙江,牡丹江,渤海国上京龙泉府宫城遗址,4,0.0,3.9,40.0,牡丹江市宁安市渤沙线
黑龙江,牡丹江,人民公园,0,0.0,4.6,81.0,牡丹江市阳明区东四条路
黑龙江,牡丹江,大孤山,0,0.0,4.5,30.0,牡丹江市宁安市镜泊湖景区内
黑龙江,牡丹江,小孤山,0,0.0,4.4,24.0,牡丹江宁安市镜泊湖景区镜泊湖中部，距北湖头六十余华里
黑龙江,牡丹江,圆通讲寺,0,0.0,4.5,49.0,牡丹江市爱民区金龙山（北山）脚下
黑龙江,牡丹江,北山公园,0,0.0,4.6,70.0,牡丹江市爱民区新华路
黑龙江,牡丹江,亚雪驿站十里画廊,0,0.0,4.4,32.0,大海林林业局辖区长汀镇双峰林场
黑龙江,牡丹江,城墙砬子,0,0.0,4.4,14.0,牡丹江市宁安市镜泊湖中部西岸山顶
黑龙江,牡丹江,珍珠门,0,0.0,4.2,13.0,牡丹江市宁安市镜泊湖风景区内
黑龙江,牡丹江,道士山,0,0.0,4.4,12.0,牡丹江市宁安市镜泊湖的南部
黑龙江,牡丹江,镜泊小镇,0,0.0,4.1,34.0,牡丹江市安宁市火山口旅游公路
黑龙江,牡丹江,兴隆寺,0,0.0,4.4,18.0,牡丹江宁安市渤海镇
黑龙江,牡丹江,﻿江滨公园,0,0.0,4.8,46.0,牡丹江市东安区太平路133号
黑龙江,牡丹江,绥芬河边贸市场,0,0.0,4.2,55.0,牡丹江绥芬河市境内
黑龙江,牡丹江,老鸹砬子,0,0.0,4.4,21.0,牡丹江市宁安市镜泊湖景区内
黑龙江,牡丹江,牡丹峰国家森林公园,0,0.0,4.4,42.0,牡丹江市东安区（市区东南约15公里处）
黑龙江,牡丹江,白石砬子,0,0.0,3.9,9.0,牡丹江市宁安县镜泊湖边，孤山前湖之左岸
黑龙江,牡丹江,熔岩隧道,0,0.0,4.3,11.0,牡丹江市宁安市西、镜泊湖西北约30公里处
黑龙江,牡丹江,东一条路步行街,0,0.0,4.7,28.0,牡丹江市东安区与西安区交界处
黑龙江,牡丹江,城子后山城遗址,0,0.0,3.9,8.0,牡丹江宁安市镜泊湖瀑布东北约3公里处
黑龙江,牡丹江,﻿莲花湖,0,0.0,4.8,16.0,牡丹江市林口县境内东北部
黑龙江,牡丹江,夹皮沟,0,0.0,4.8,4.0,牡丹江市海林林业局夹皮沟林场
黑龙江,牡丹江,金城公园,0,0.0,4.2,17.0,牡丹江市穆棱市兴林街
黑龙江,牡丹江,红松原始林风景区,0,0.0,5.0,8.0,大海林林业局太平沟林场
黑龙江,牡丹江,绥芬河博物馆,0,0.0,4.3,24.0,牡丹江市绥芬河市绥芬河镇长江路17号
黑龙江,牡丹江,宁古塔城遗址,0,0.0,3.8,12.0,牡丹江海林市旧街乡古塔村
黑龙江,牡丹江,南湖公园,0,0.0,4.7,23.0,牡丹江市西安区南市街附近
黑龙江,漠河,北极村,5,0.0,4.4,980.0,大兴安岭地区漠河市
黑龙江,漠河,漠河县城,0,0.0,4.5,331.0,大兴安岭漠河县内
黑龙江,漠河,北红村,0,0.0,4.4,225.0,大兴安岭漠河县北红村
黑龙江,漠河,白桦林,0,0.0,4.5,116.0,大兴安岭地区漠河县
黑龙江,漠河,黑龙江第一湾,0,0.0,4.5,285.0,大兴安岭地区漠河县图强林业局施业区红旗岭段
黑龙江,漠河,九曲十八弯,0,0.0,4.2,128.0,大兴安岭地区漠河县加漠公路485段上
黑龙江,漠河,乌苏里浅滩,0,0.0,4.3,84.0,大兴安岭漠红倒北红村内
黑龙江,漠河,胭脂沟,0,0.0,4.1,76.0,大兴安岭地区漠河县金沟林场
黑龙江,漠河,松苑原始森林公园,0,0.0,4.5,111.0,大兴安岭地区漠河县16区
黑龙江,漠河,神州北极广场,0,0.0,4.2,93.0,大兴安岭地区漠河县漠河乡北极村旅游风景区北极村旅游风景区内
黑龙江,漠河,李金镛祠堂,0,0.0,4.1,60.0,大兴安岭地区漠河县西林吉镇金沟林场
黑龙江,漠河,北陲哨所,0,0.0,4.3,56.0,大兴安岭地区漠河县北极村内
黑龙江,漠河,洛古河村,0,0.0,4.4,38.0,大兴安岭地区漠河县洛古河村
黑龙江,漠河,大兴安岭五·六火灾纪念馆,0,0.0,4.4,89.0,大兴安岭地区漠河县中华街
黑龙江,漠河,北极圣诞村,0,0.0,4.2,53.0,大兴安岭地区漠河县北极村以东22公里处
黑龙江,漠河,西山公园,0,0.0,4.3,41.0,大兴安岭地区漠河县城西面
黑龙江,漠河,林海观音山,0,0.0,4.2,33.0,大兴安岭地区漠河县加漠公路540公里处
黑龙江,漠河,中国最北邮政局,0,0.0,4.1,98.0,大兴安岭地区漠河县北极村
黑龙江,漠河,北望垭口广场,0,0.0,4.5,21.0,大兴安岭地区漠河县北极乡北极村
黑龙江,漠河,圣诞邮局,0,0.0,3.7,6.0,大兴安岭地区漠河县圣诞村旅游景区内
黑龙江,漠河,兴安口岸,0,0.0,4.1,23.0,大兴安岭地区漠河县兴安镇
黑龙江,漠河,北极沙州,0,0.0,4.1,9.0,大兴安岭地区漠河县北极村
黑龙江,漠河,飞来松,0,0.0,4.0,1.0,大兴安岭地区漠河县北极村约四、五公里的加漠公路南侧
黑龙江,漠河,神龙湾景区,0,0.0,4.8,11.0,大兴安岭地区漠河县Z042县道
黑龙江,漠河,鄂伦春民族博物馆,0,0.0,4.0,7.0,大兴安岭地区漠河县北极村通河路
黑龙江,漠河,鄂温克驯鹿园,0,0.0,4.5,12.0,大兴安岭地区漠河市209省道西100米
黑龙江,漠河,中国最北点,0,0.0,4.5,21.0,大兴安岭地区漠河县
黑龙江,漠河,漠河黑龙江,0,0.0,4.8,6.0,漠河县段
黑龙江,漠河,北极村森林公园 ,0,0.0,4.5,5.0,黑龙江省漠河县漠河林场 150000
黑龙江,漠河,漠河火灾纪念馆,0,0.0,4.8,4.0,林吉镇中华路东侧五·六火灾纪念馆
黑龙江,漠河,古城岛,0,0.0,4.5,6.0,黑龙江省漠河县兴安乡东北约4公里的黑龙江中
黑龙江,漠河,北极观光塔,0,0.0,3.2,5.0,大兴安岭漠河县北极村
黑龙江,漠河,漠河仙人洞,0,0.0,4.0,6.0,黑龙江省漠河县西林吉镇
黑龙江,漠河,漠河北红村 ,0,0.0,3.0,7.0,黑龙江省漠河县北极乡 165303
黑龙江,漠河,北极泉风景区,0,0.0,0.0,0.0,大兴安岭地区漠河县图强镇木石神山
黑龙江,漠河,阿木尔镇,0,0.0,5.0,2.0,黑龙江省大兴安岭地区漠河市
黑龙江,漠河,漠河北极博物馆,0,0.0,0.0,0.0,漠河县北极镇通江街
黑龙江,漠河,民族风情园,0,0.0,0.0,0.0,漠河县北极乡北极村内
黑龙江,漠河,野生罂粟园 ,0,0.0,0.0,0.0,黑龙江省漠河县北极村东南部 150000
黑龙江,漠河,漠河胭脂沟金矿 ,0,0.0,0.0,0.0,黑龙江省漠河县金沟林场 150000
黑龙江,漠河,漠河图书馆,0,0.0,0.0,0.0,商贸路金恒文化体育用品东60米
黑龙江,漠河,扎林库尔山,0,0.0,0.0,0.0,塔河
黑龙江,漠河,大迁移壁画,0,0.0,0.0,0.0,大兴安岭地区-漠河市-通河路附近北方民族园内
黑龙江,漠河,图强林业博物馆,0,0.0,0.0,0.0,图强林业局文体中心
黑龙江,漠河,圣诞村,0,0.0,5.0,1.0,黑龙江省大兴安岭地区漠河县
黑龙江,伊春,汤旺河石林风景区（汤旺河国家公...,5,0.0,4.6,520.0,伊春市汤旺河区旅游公路以北９公里处
黑龙江,伊春,五营国家森林公园,4,0.0,4.3,502.0,伊春市五营区旅游公路
黑龙江,伊春,茅兰沟国家森林公园,4,0.0,4.4,266.0,黑龙江省伊春市嘉荫县向阳乡
